date	year	month	day	sample_depth	gene	domain_name	division_name	class_name	lowest_classification_name	placement_type	RR_count
14_6_25	14	6	25	DP	18s	Eukaryota	Stramenopiles	Bacillariophyta	Thalassiosiraceae	fuzzy	3
14_6_25	14	6	25	DP	18s	Eukaryota	Stramenopiles	Chrysophyceae	Chromulinaceae	fuzzy	8
14_6_25	14	6	25	DP	18s	Eukaryota	Stramenopiles	Chrysophyceae	Chromulinales	fuzzy	4
14_6_25	14	6	25	DP	18s	Eukaryota	Stramenopiles	Chrysophyceae	Spumella	fuzzy	19
14_6_25	14	6	25	DP	18s	Eukaryota	Stramenopiles	Chrysophyceae	Spumella-like flagellate JB	fuzzy	5
14_6_25	14	6	25	DP	18s	Eukaryota	Stramenopiles	Chrysophyceae	unclassified Chrysophyceae	fuzzy	24
14_6_25	14	6	25	DP	18s	Eukaryota	Stramenopiles	Chrysophyceae	unclassified Spumella	fuzzy	19
14_6_25	14	6	25	DP	18s	Eukaryota	Stramenopiles	Labyrinthulomycetes	unclassified Thraustochytriidae	fuzzy	2
14_6_25	14	6	25	DP	18s	Eukaryota	Stramenopiles	Labyrinthulomycetes	unclassified Thraustochytrium	fuzzy	2
14_6_25	14	6	25	DP	18s	Eukaryota	Stramenopiles	NO MATCH	Stramenopiles	fuzzy	6
14_6_25	14	6	25	DP	18s	Eukaryota	Stramenopiles	PX clade	Mischococcales	fuzzy	2
14_6_25	14	6	25	DP	18s	Eukaryota	Stramenopiles	Synurophyceae	Synurophyceae	fuzzy	15
14_6_25	14	6	25	DP	18s	Eukaryota	Viridiplantae	Chlorophyta	Mamiellophyceae	fuzzy	33
14_6_25	14	6	25	DP	18s	Eukaryota	Viridiplantae	Streptophyta	Dalbergieae	fuzzy	13
14_6_25	14	6	25	DP	18s	Eukaryota	Viridiplantae	Streptophyta	environmental samples	fuzzy	2
14_6_25	14	6	25	DP	18s	Eukaryota	environmental samples	named eukaryotic clones	named eukaryotic clones	fuzzy	40
30_6_6	30	6	6	DP	18s	Eukaryota	Alveolata	Ciliophora	Spirotrichea	fuzzy	2
30_6_6	30	6	6	DP	18s	Eukaryota	Alveolata	Ciliophora	Strombidiidae	fuzzy	2
30_6_6	30	6	6	DP	18s	Eukaryota	Alveolata	Ciliophora	Tintinnida	fuzzy	2
30_6_6	30	6	6	DP	18s	Eukaryota	Alveolata	Dinophyceae	Amoebophrya	fuzzy	2
30_6_6	30	6	6	DP	18s	Eukaryota	Alveolata	Dinophyceae	Gymnodiniales	fuzzy	269
30_6_6	30	6	6	DP	18s	Eukaryota	Alveolata	Dinophyceae	Peridiniales	fuzzy	20
30_6_6	30	6	6	DP	18s	Eukaryota	Alveolata	Dinophyceae	Polykrikaceae	fuzzy	31
